,mu-cassandra_kJmol,pressure_bar
0,-58.0,0.0002074068193062
1,-56.0,0.00046406060927960005
2,-54.0,0.0010441691874148
3,-52.0,0.002325838020678
4,-50.0,0.005199631041167999
5,-48.0,0.01162247214989
6,-46.0,0.02590337371658
7,-44.0,0.05892977604811999
