,size_nm,npairs,diffusivity_water_cm^2/s,diffusivity_Na_cm^2/s,diffusivity_Cl_cm^2/s
0,1.0,0,1.0684177412553118e-05,,
1,1.0,4,6.395123381160805e-06,2.8140474429510994e-06,2.3241827277517598e-06
2,1.0,8,4.599218628954006e-06,1.6600450904853277e-06,1.7793964468043131e-06
3,1.5,0,2.0196307574498278e-05,,
4,1.5,4,1.619414154410694e-05,6.6172831716512635e-06,4.838974371340588e-06
5,1.5,8,1.087464745378964e-05,3.574616196375101e-06,5.538483600310989e-06
6,2.0,0,2.128543594134371e-05,,
7,2.0,4,1.8308142507784648e-05,6.260804738468761e-06,7.748422651849958e-06
8,2.0,8,1.532399357501446e-05,5.4962972007754386e-06,7.72550654003511e-06
